rel_enh,backend,preset,rel_prep,sr_in,sr_out,dur_in_s,dur_out_s,peak_in_dbfs,peak_out_dbfs,delta_peak_db,rms_in_dbfs,rms_out_dbfs,delta_rms_db,clip_in_pct,clip_out_pct,delta_clip_pct,crest_in,crest_out,delta_crest,flat_in,flat_out,delta_flat,centroid_in_hz,centroid_out_hz,delta_centroid_hz,lufs_in,lufs_out,delta_lufs,srmr_in,srmr_out,delta_srmr,error,vad_speech_ratio_in,vad_speech_ratio_out,delta_vad_speech_ratio,vad_seg_count_in,vad_seg_count_out,delta_vad_seg_count,vad_seg_mean_dur_in_s,vad_seg_mean_dur_out_s,delta_vad_seg_mean_dur_s,speech_level_in_dbfs,speech_level_out_dbfs,delta_speech_level_db,nonspeech_level_in_dbfs,nonspeech_level_out_dbfs,delta_nonspeech_level_db,speech_nonspeech_snr_in_db,speech_nonspeech_snr_out_db,delta_speech_nonspeech_snr_db,emb_temporal_smoothness_in,emb_temporal_smoothness_out,delta_emb_temporal_smoothness,num_clusters_in,num_clusters_out,silhouette_in,silhouette_out,db_index_in,db_index_out,calinski_harabasz_in,calinski_harabasz_out,between_cluster_min_cos_in,between_cluster_min_cos_out,cluster_size_cv_in,cluster_size_cv_out,rtf_out,dnsmos_sig_out,dnsmos_bak_out,dnsmos_ovrl_out
enh/base/medium/data/raw/2025/09/08/428b1ef5c92dd7ecdc7c54107ecf2e046ef42251610c0ba12244412fa65b4205__250820_2009.wav,base,medium,prep/data/raw/2025/09/08/428b1ef5c92dd7ecdc7c54107ecf2e046ef42251610c0ba12244412fa65b4205__250820_2009.wav,44100,44100,183.588367,183.58839,-1.0,-1.673,-0.673,-24.242,-25.486,-1.244,0.0,0.0,0.0,14.52373,15.511807,0.988077,0.002219,0.013953,0.011734,921.927,894.414,-27.513,-23.151,-23.953,-0.802,7.774935,8.065497,0.290562,,,,,,,,,,,,,,,,,,,,0.688322,0.68425,-0.004072,39,53,0.101391,0.111581,1.593258,1.503104,4.505252,3.996841,0.254503,0.119651,1.632869,1.696042,,,,
enh/base/medium/data/raw/2025/09/08/436386caea78dd252ff03f21db77ed3ad4d9264f6683832fd9b6a69480154deb__250820_1955.wav,base,medium,prep/data/raw/2025/09/08/436386caea78dd252ff03f21db77ed3ad4d9264f6683832fd9b6a69480154deb__250820_1955.wav,44100,44100,133.203673,133.203673,-1.0,-1.0,0.0,-21.339,-22.502,-1.163,0.0,0.0,0.0,10.397746,11.888626,1.49088,0.001058,0.014701,0.013643,906.459,923.928,17.469,-20.229,-21.029,-0.8,9.589393,9.688887,0.099494,,,,,,,,,,,,,,,,,,,,0.696881,0.662939,-0.033942,32,37,0.100378,0.108409,1.591547,1.467771,4.362838,4.215763,0.115952,0.088545,1.374201,1.457649,,,,
enh/base/medium/data/raw/2025/09/08/448e406125cff7c673d260f7a18982fb51445dd29b670a6c4e8c31e2e826ff45__250728_0942.wav,base,medium,prep/data/raw/2025/09/08/448e406125cff7c673d260f7a18982fb51445dd29b670a6c4e8c31e2e826ff45__250728_0942.wav,44100,44100,75.441633,75.441633,-1.554,-1.0,0.554,-20.614,-21.105,-0.491,0.0,0.0,0.0,8.97433,10.121603,1.147273,0.001701,0.012297,0.010596,987.347,962.863,-24.484,-19.217,-19.389,-0.172,11.467299,11.691489,0.22419,,,,,,,,,,,,,,,,,,,,0.731256,0.684382,-0.046874,13,22,0.162629,0.12243,1.874897,1.507949,5.093358,3.931239,0.438625,0.179392,0.88843,0.958745,,,,
enh/base/medium/data/raw/2025/09/08/4ef2d5461face4166f7b4fb9c086055f5254a93460e5c87b5d4994d0680664fd__250714_1632_01.wav,base,medium,prep/data/raw/2025/09/08/4ef2d5461face4166f7b4fb9c086055f5254a93460e5c87b5d4994d0680664fd__250714_1632_01.wav,44100,44100,79.124898,79.124898,-1.0,-1.0,0.0,-21.932,-22.769,-0.837,0.0,0.0,0.0,11.133449,12.259089,1.12564,0.000404,0.014219,0.013815,845.719,1205.675,359.956,-21.275,-21.745,-0.47,7.913191,9.969782,2.056591,,,,,,,,,,,,,,,,,,,,0.717535,0.698617,-0.018918,26,34,0.153304,0.177307,1.387169,1.363097,3.6167,3.244662,0.249844,0.250421,1.007186,0.941326,,,,
enh/base/medium/data/raw/2025/09/08/52701f4fa2514351bde702af10f7d8b4f8ea12bae519d4cdbbf9b18df92e3c2b__250820_1952.wav,base,medium,prep/data/raw/2025/09/08/52701f4fa2514351bde702af10f7d8b4f8ea12bae519d4cdbbf9b18df92e3c2b__250820_1952.wav,44100,44100,172.225306,172.225306,-1.0,-1.0,0.0,-22.024,-23.17,-1.146,0.0,0.0,0.0,11.250905,12.837754,1.586849,0.000903,0.011008,0.010105,1009.972,797.129,-212.843,-20.671,-21.474,-0.803,9.283889,10.931283,1.647394,,,,,,,,,,,,,,,,,,,,0.673812,0.667512,-0.0063,37,42,0.105562,0.101227,1.597532,1.626443,5.065674,4.659141,0.121247,0.04628,1.709323,1.433748,,,,
enh/base/medium/data/raw/2025/09/08/5722f1647c30d67d5f7c6bbe9221f671fd0f12ca0ae75bc4ef99a2158d29a1d0__250820_1540.wav,base,medium,prep/data/raw/2025/09/08/5722f1647c30d67d5f7c6bbe9221f671fd0f12ca0ae75bc4ef99a2158d29a1d0__250820_1540.wav,44100,44100,23.183061,23.183084,-1.0,-1.0,0.0,-20.133,-20.918,-0.785,0.0,0.0,0.0,9.049951,9.906757,0.856806,0.00067,0.016149,0.015479,781.555,942.804,161.249,-19.36,-19.816,-0.456,10.740368,12.214415,1.474047,,,,,,,,,,,,,,,,,,,,0.739984,0.690259,-0.049725,10,11,0.165533,0.237678,1.257977,1.19835,2.727446,3.146266,0.101375,0.354149,0.777966,0.56661,,,,
enh/base/medium/data/raw/2025/09/08/5c2ad6043a903ee4989b70da850e6de75204c1c2c1e9ab9d595f812f2779a95f__250728_0914.wav,base,medium,prep/data/raw/2025/09/08/5c2ad6043a903ee4989b70da850e6de75204c1c2c1e9ab9d595f812f2779a95f__250728_0914.wav,44100,44100,178.413265,178.413288,-1.0,-1.0,0.0,-19.605,-19.923,-0.318,0.0,0.0,0.0,8.51581,8.834024,0.318214,0.001277,0.01169,0.010413,939.309,1046.297,106.988,-18.27,-18.37,-0.1,11.273021,11.650784,0.377763,,,,,,,,,,,,,,,,,,,,0.720632,0.68657,-0.034062,40,47,0.118186,0.113291,1.553153,1.539595,4.614707,4.713549,0.145435,0.128679,1.643631,1.25249,,,,
enh/base/medium/data/raw/2025/09/08/5d4c7742b30af62c91777f92bdbaa267d5e4650e3c60e0833b39d81f5a16a679__250820_1542.wav,base,medium,prep/data/raw/2025/09/08/5d4c7742b30af62c91777f92bdbaa267d5e4650e3c60e0833b39d81f5a16a679__250820_1542.wav,44100,44100,7.590816,7.590839,-1.0,-1.0,0.0,-20.663,-21.385,-0.722,0.0,0.0,0.0,9.619305,10.45379,0.834485,0.000324,0.017948,0.017624,896.465,1055.374,158.909,-19.475,-19.94,-0.465,6.962475,7.688032,0.725557,,,,,,,,,,,,,,,,,,,,0.692212,0.629114,-0.063098,4,5,0.279068,0.314164,0.984013,0.771421,2.88415,2.750553,0.266687,0.334551,0.484322,0.41574,,,,
enh/base/medium/data/raw/2025/09/08/68d77e1211ad8d7de70bb869c49a8e561b7ce00c6ee23a5d5fff8c6175c125f6__250728_0908.wav,base,medium,prep/data/raw/2025/09/08/68d77e1211ad8d7de70bb869c49a8e561b7ce00c6ee23a5d5fff8c6175c125f6__250728_0908.wav,44100,44100,132.417347,132.41737,-1.0,-1.0,0.0,-20.271,-19.944,0.327,0.0,0.0,0.0,9.195018,8.854976,-0.340042,0.001443,0.013602,0.012159,944.179,1043.006,98.827,-18.893,-18.422,0.471,11.326158,11.815593,0.489435,,,,,,,,,,,,,,,,,,,,0.678151,0.655157,-0.022994,37,42,0.134351,0.138552,1.510366,1.503552,4.126866,4.191756,0.242735,0.112474,1.413313,1.074483,,,,
enh/base/medium/data/raw/2025/09/08/7f72f6b93587d0ac73afa53fbd3fa8fbe3bdd720bab212cea69ef568b6aff45a__250714_1636.wav,base,medium,prep/data/raw/2025/09/08/7f72f6b93587d0ac73afa53fbd3fa8fbe3bdd720bab212cea69ef568b6aff45a__250714_1636.wav,44100,44100,64.072449,64.072472,-1.0,-1.0,0.0,-22.136,-23.255,-1.119,0.0,0.0,0.0,11.397426,12.965107,1.567681,0.000516,0.014886,0.01437,864.838,1177.597,312.759,-21.44,-22.09,-0.65,7.474037,9.719926,2.245889,,,,,,,,,,,,,,,,,,,,0.739335,0.704824,-0.034511,19,26,0.192497,0.182385,1.479332,1.309671,4.088604,3.452358,0.229685,0.077709,1.004384,0.87676,,,,
