path,sha256,duration_s,sample_rate,channels,bitrate,size_bytes,source,drive_file_id,created_at
data/raw/2025/09/08/2e0e1fdf187de03e3aabefd202f827dc878723373a15104cf2c707fa16faf3f7__250805_1407.mp3,2e0e1fdf187de03e3aabefd202f827dc878723373a15104cf2c707fa16faf3f7,46.498,44100,2,128704,748064,drive,1dsixG55nHtc-vE33G3S3TIC5-7DuiuYY,2025-09-08T05:07:46Z
data/raw/2025/09/08/2b433ba18758689f072fb4243cafcee5c6e631f8a057c64476aefc0acecf0f8a__250805_1406.mp3,2b433ba18758689f072fb4243cafcee5c6e631f8a057c64476aefc0acecf0f8a,101.69475,44100,2,128322,1631212,drive,1BsEf77rUU_WwtEAr09AL6jWDwGyWzZCU,2025-09-08T05:07:48Z
data/raw/2025/09/08/bacee44590f4f10dcbf347c6f8033cb9e693ae282d2da6a9f03a19916ed9b755__250805_1403.mp3,bacee44590f4f10dcbf347c6f8033cb9e693ae282d2da6a9f03a19916ed9b755,83.487375,44100,2,128392,1339894,drive,1ZfCyFgMnIvaI1qOpgpprHhEoatH1RTzB,2025-09-08T05:07:49Z
data/raw/2025/09/08/bc1c812f58d7a8814ab2cfa4d81d5ba6d0a3ece42c884e11822ecb9479a71a7d__250805_1401.mp3,bc1c812f58d7a8814ab2cfa4d81d5ba6d0a3ece42c884e11822ecb9479a71a7d,83.539625,44100,2,128392,1340730,drive,1wytagSvyKNNuvFPFlUt4MRypW_LskVFj,2025-09-08T05:07:51Z
data/raw/2025/09/08/93b95afc1cba4e79bb098d28307af4bb581a427c2733bb91de4c337c06b93d2a__250805_1359.mp3,93b95afc1cba4e79bb098d28307af4bb581a427c2733bb91de4c337c06b93d2a,111.647375,44100,2,128293,1790454,drive,1DtS-RZVe7gg2FnJpz7D5xHjmabOP082x,2025-09-08T05:07:53Z
data/raw/2025/09/08/448e406125cff7c673d260f7a18982fb51445dd29b670a6c4e8c31e2e826ff45__250728_0942.mp3,448e406125cff7c673d260f7a18982fb51445dd29b670a6c4e8c31e2e826ff45,75.441688,44100,2,128434,1211163,drive,1uQuXtX5dgJklrJubG0WiuTbR1QHaos6H,2025-09-08T05:07:55Z
data/raw/2025/09/08/40723dc623cfd3d4a9963cb1819a647591d9fdfc86f88867774fce4acb956e2e__250728_0940.mp3,40723dc623cfd3d4a9963cb1819a647591d9fdfc86f88867774fce4acb956e2e,89.809,44100,2,128364,1441040,drive,10Vqq0O7CaEsTPn0I1J3A14a2WKnKPbmR,2025-09-08T05:07:56Z
data/raw/2025/09/08/166ef3101465e2cc2ba05cae7010abdfa2d78de9525bb90b17889011a8cb25d5__250728_0938.mp3,166ef3101465e2cc2ba05cae7010abdfa2d78de9525bb90b17889011a8cb25d5,130.272688,44100,2,128251,2088459,drive,10xnnHe26m_6h7-5j8esVRWCLfxyQofOC,2025-09-08T05:07:58Z
data/raw/2025/09/08/3397998d845e67f7f99bc80c67a2868f0a78380a57680a92061633d93f7f4882__250728_0937.mp3,3397998d845e67f7f99bc80c67a2868f0a78380a57680a92061633d93f7f4882,41.848188,44100,2,128783,673667,drive,1iVxDE-YoxETtbgHZBGLKFydxJR3iF6y8,2025-09-08T05:08:00Z
data/raw/2025/09/08/8682186d89e962ebcf0c268dc7e536a2b4dbedbff360d05b8addcdd71352ab55__250728_0935.mp3,8682186d89e962ebcf0c268dc7e536a2b4dbedbff360d05b8addcdd71352ab55,132.728188,44100,2,128246,2127747,drive,1LCahTSSucSTV_3_YLIH3xAQDtd7aN1Og,2025-09-08T05:08:02Z
